fire_name,centroid_lat,centroid_lon,asset_weight,fetch_radius_m,amenity,building,landuse
ALMEDA DRIVE,42.43391797496837,-122.88106002622801,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43470130088936,-122.88153712540415,1.5,37100.0,,,industrial
ALMEDA DRIVE,42.43775456435623,-122.83482792864231,4.0,37100.0,,,residential
ALMEDA DRIVE,42.39140186939654,-122.85716283705868,6.0,37100.0,police,yes,
ALMEDA DRIVE,42.37256846723328,-122.88756150077339,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.33872948617946,-122.86031806875789,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.33848853531907,-122.8603232249846,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.192075011247795,-122.69139247871465,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.19235612962522,-122.69137712307203,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.19223038814891,-122.69167213304164,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.192198922486064,-122.6919308706041,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.192093310258116,-122.69219402785532,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.191872759402095,-122.69245420946284,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.19219733990811,-122.69244956254302,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.19254694524411,-122.69244612954947,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.192847493761285,-122.69243628483065,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.33542419272934,-122.86815529505319,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.33605082792381,-122.8689587730422,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.34172134364606,-122.8695544153871,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.341376800000006,-122.87975125000001,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.34210524553935,-122.88023589711015,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.21206899902752,-122.71318726258353,4.0,37100.0,,residential,
ALMEDA DRIVE,42.212082031361454,-122.71277378430243,4.0,37100.0,,residential,
ALMEDA DRIVE,42.212351803174805,-122.71240739060602,4.0,37100.0,,residential,
ALMEDA DRIVE,42.212351803174805,-122.71240739060602,4.0,37100.0,,residential,
ALMEDA DRIVE,42.23801106746967,-122.7789494895847,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.2385840664893,-122.77820226502834,6.0,37100.0,police,yes,
ALMEDA DRIVE,42.18064290783257,-122.66990673779841,1.5,37100.0,,,industrial
ALMEDA DRIVE,42.17978240383804,-122.67064108308172,4.0,37100.0,,,residential
ALMEDA DRIVE,42.18168257377758,-122.67275523516624,4.0,37100.0,,,residential
ALMEDA DRIVE,42.18083188043567,-122.6727359101283,4.0,37100.0,,,residential
